קוד שכונה,שכונה
16900008,א-צואנה
16900004,א-טור
16900014,אבו דיס
16900016,אבו טור
16900022,אהל משה
16900024,אהל שלמה
16900028,אום טובה
16900030,אונסדורף
16900032,אחוה
16900036,אל-בירה
16900040,אל-עזריה
16900044,אל-עיסוויה
16900046,ארזי הבירה
16900048,ארנונה
16900052,באב א-זהרה
16900054,בוכרים
16900055,ביר עונא
16900056,בית הכרם
16900060,בית וגן
16900062,בית זית
16900064,בית חנינה
16900068,בית יעקב
16900072,בית ישראל
16900074,בית לחם
16900076,בית צפפה
16900084,בתי אונגרין
16900088,בתי ורשה
16900092,גאולה
16900094,גאולים - בקעה
16900096,גבל מוקבר
16900100,גבעת אורן
16900104,גבעת אליהו
16900106,גבעת הורדים
16900108,גבעת החאן
16900112,גבעת המבתר
16900114,גבעת המטוס
16900116,גבעת הפורצים
16900120,גבעת התחמושת
16900122,גבעת חנניה
16900124,גבעת מרדכי
16900128,גבעת משואה
16900132,גבעת קומונה
16900136,גבעת רם
16900140,גבעת שאול
16900144,גבעת שאול ב
16900148,גבעת שפירא
16900152,גונן
16900156,גונן א
16900158,גונן ב
16900160,גונן ג
16900162,גונן ד
16900164,גונן ה
16900168,גונן ו
16900172,גונן ח
16900176,גונן ט
16900180,גוננים
16900184,גיא בן-הינום
16900188,גילה
16900192,גן העצמאות
16900196,גן הקבר
16900200,דרום-מערב העיר
16900202,דרך חברון
16900204,דרך יריחו
16900208,דרך שכם
16900548,הגבעה הצרפתית / צמרת הבירה
16900212,הכפר השבדי
16900218,העיר המזרחית
16900220,העיר העתיקה
16900224,הר הזיתים
16900228,הר הזכרון
16900232,הר המנוחות
16900236,הר הצופים
16900240,הר הרצל
16900244,הר חוצבים
16900248,הר נוף
16900252,הר ציון
16900256,הר תמיר
16900260,הרובע הארמני
16900264,הרובע היהודי
16900268,הרובע המוסלמי
16900270,הרובע הנוצרי
16900272,ואדי גוז
16900276,ואדי קדום
16900277,ולאגה
16900278,זכרון טוביה
16900280,זכרון יוסף
16900284,זכרון יעקוב
16900288,זכרון משה
16900290,חבשים
16900242,חומת שמואל
16900558,טלביה
16900296,יגיע כפיים
16900300,ימין משה
16900304,יער ירושלים
16900308,יפה נוף
16900312,כל העיר
16900316,כנסת ישראל
16900320,כפר השילוח - סילואן
16900324,כפר עקב
16900328,כרם
16900332,כרם אברהם
16900336,מאה שערים
16900340,מגרש הרוסים
16900344,מורשה
16900348,מושבה אמריקאית
16900520,מושבה גרמנית
16900356,מושבה יוונית
16900358,מזכרת משה
16900364,מחנה אלנבי
16900368,מחנה יהודה
16900372,מחנה שנלר
16900376,מחניים
16900378,מטה יהודה
16900380,מי נפתוח
16900384,מיתאר 62
16900392,ממילא
16900396,מנחת
16900406,מעלה אדומים
16900408,מעלות דפנה
16900412,מערב העיר
16900416,מקור ברוך
16900420,מקור חיים
16900400,מרכז העיר
16900404,מרכז עיר מזרח
16900424,נוה גרנות
16900428,נוה יעקב
16900432,נוה שאנן
16900436,נחל קידרון
16900440,נחלאות
16900444,נחלת אחים
16900448,נחלת צדוק
16900452,נחלת שבעה
16900456,נחלת שמעון
16900460,ניות
16900464,ניקופוריה
16900466,סוכת שלום
16900468,סן סימון
16900472,סנהדריה
16900476,סנהדריה המורחבת
16900012,ע-שייח
16900020,עבן יהושע
16900021,עבן ישראל
16900480,עומריה
16900482,עזרת תורה
16900484,עטרות
16900488,עין כרם
16900492,עיר גנים
16900496,עיר גנים א
16900500,עיר גנים ב
16900504,עיר גנים ג
16900508,עיר דוד
16900512,עמק המצלבה
16900516,עמק ציון
16900524,ענתות
16900526,עץ חיים
16900528,ערב א-סואחרה
16900532,פסגת זאב
16900489,פסגת זאב דרום
16900533,פסגת זאב מזרח
16900534,פסגת זאב מערב
16900535,פסגת זאב צפון
16900536,פסגת עומר
16900540,פת
16900542,צובה
16900544,צור באחר
16900552,צפון ירושלים
16900556,צפון תלפיות
16900564,קרית ארבע
16900566,קרית דוד בן גוריון
16900567,קרית האומה
16900568,קרית היובל
16900572,קרית וולפסון
16900576,קרית מוריה
16900580,קרית מטרסדורף
16900584,קרית מנחם
16900588,קרית משה
16900592,קרית צאנז
16900596,קרית שמואל
16900600,ראס אל עמוד
16900602,רוחמה
16900604,רוממה
16900606,רוממה-איזור תעשיה
16900608,רוממה עילית
16900616,רחביה
16900612,רחוב המלך גורג
16900620,רמות
16900624,רמת אשכול
16900628,רמת בית הכרם
16900632,רמת דניה
16900636,רמת מוצא
16900640,רמת רחל
16900618,רמת שלמה
16900644,רמת שרת
16900650,שומרי אמונים
16900652,שועפט
16900656,שייך גראח
16900660,שכונות חדשות
16900672,שמואל הנביא
16900676,שער האריות
16900680,שער האשפות
16900684,שער שכם
16900688,שערי חסד
16900690,שערי ירושלים
16900692,שערי פינה
16900696,שערי ציון
16900700,שרפת
16900704,תל-ארזה
16900708,תלפיות
16900360,תלפיות מזרח
16900712,תלפיות תעשיה
