שכונה,קוד שכונה,רחוב,סמל רחוב
א-טור,4,1, 
א-טור,4,אל חרדוב,4141
א-טור,4,אל כילה,4139
א-טור,4,אל מנסוריה,5585
א-טור,4,בית פאגי,4403
א-טור,4,דרך א טור שמואל ב,4281
א-טור,4,דרך מנהרת הר הצופ, 
א-טור,4,יציאה לכביש 1 מער, 
א-טור,4,יציאה למחלף הזית, 
א-טור,4,סולימן אל פרסי,5581
א-טור,4,רבעה אל עדוויה,5584
א-טור,4,שייח' ענבר,5583
א-סוואנה,746,אל מנסוריה,5585
א-סוואנה,746,דרך א טור שמואל ב,4281
א-סוואנה,746,דרך יריחו,4146
א-סוואנה,746,דרך שער האריות,5582
א-רם,751,60,4416
א-שייאח,745,א שייח',4150
א-שייאח,745,בית פאגי,4403
א-שייאח,745,דרך יריחו,4146
א-שייאח,745,ואדי עבדאללה,4400
אום טובא,28,398, 
אום טובא,28,אאל אל בית, 
אום טובא,28,אבו ד'ר אלע'פארי, 
אום טובא,28,אבו עקאב, 
אום טובא,28,אבן מסעוד,4745
אום טובא,28,אחמד אבן חנבל,4749
אום טובא,28,אל חביטיה, 
אום טובא,28,אל משהאד, 
אום טובא,28,אל ע'רס, 
אום טובא,28,אלביאד, 
אום טובא,28,אלביר שאוקי, 
אום טובא,28,אלג'רס, 
אום טובא,28,אלואד אלע'רבי, 
אום טובא,28,אלמדינה אלמונארה, 
אום טובא,28,אלמחאג'ר, 
אום טובא,28,אלסדר, 
אום טובא,28,אלקאעה, 
אום טובא,28,אלרסם, 
אום טובא,28,אלתון, 
אום טובא,28,אסביל, 
אום טובא,28,בנאת אבו בכר,4895
אום טובא,28,זרח ורהפטיג,193
אום טובא,28,טלעת אלמשהאד,4900
אום טובא,28,מסעדה, 
אום טובא,28,עבד אלעזיז, 
אום טובא,28,קיסאן,4911
אום טובא,28,שיעאב אל בטיח, 
אום ליסון,720,אבו רביע,5701
אום ליסון,720,אל ח'ולפאא אלראשד, 
אום ליסון,720,ביר אלזחלוק,4894
אום ליסון,720,משה ברזני,4336
אום ליסון,720,עולי הגרדום,4325
אזור תעשיה גב,144,בי''ח הרצוג עזרת נ, 
אזור תעשיה גב,144,בית הדפוס,895
אזור תעשיה גב,144,גבעת שאול,1143
אזור תעשיה גב,144,גרשון המלמד,1162
אזור תעשיה גב,144,דרך יוסף וייץ,893
אזור תעשיה גב,144,דרך מרדכי איש שלו,1040
אזור תעשיה גב,144,הרב אברהם דוד רוז, 
אזור תעשיה גב,144,הרב פנחס קהתי,943
אזור תעשיה גב,144,הרב רפאל קצנלבוג,1155
אזור תעשיה גב,144,השוק,6571
אזור תעשיה גב,144,יהושוע פרבשטיין,1023
אזור תעשיה גב,144,ימין אבות,935
אזור תעשיה גב,144,יעקב אליאב,928
אזור תעשיה גב,144,כנפי נשרים,995
אזור תעשיה גב,144,מגיני ירושלים,901
אזור תעשיה גב,144,מעלה רומאים, 
אזור תעשיה גב,144,משה קורדובירו,933
אזור תעשיה גב,144,נחום חפצדי,947
אזור תעשיה גב,144,עם ועולמו,898
אזור תעשיה גב,144,עקיבא אזולאי,929
אזור תעשיה גב,144,רבי ישראל נג'ארה,930
אזור תעשיה גב,144,רוברטו בקי,891
אזור תעשיה גב,144,שדרות בן גוריון,941
אזור תעשיה גב,144,שוק סיטונאי, 
אזור תעשיה גב,144,שטנר,894
אזור תעשיה עט,716,45, 
אזור תעשיה עט,716,60,4416
אזור תעשיה עט,716,איתן,4652
אזור תעשיה עט,716,דרך ביר נבאלה,4744
אזור תעשיה עט,716,היוזמה,4649
אזור תעשיה עט,716,היוצק,4678
אזור תעשיה עט,716,היצירה,4677
אזור תעשיה עט,716,הכורכים,4396
אזור תעשיה עט,716,המדפיסים,4395
אזור תעשיה עט,716,המובילים,5320
אזור תעשיה עט,716,המעש,4654
אזור תעשיה עט,716,הנחושת,4680
אזור תעשיה עט,716,העופרת,4681
אזור תעשיה עט,716,התמרוקים,4679
אזור תעשיה עט,716,יציב,4650
אזור תעשיה עט,716,יתרון,4655
אזור תעשיה עט,716,מפעלות,4653
אזור תעשיה עט,716,נמל התעופה, 
אזור תעשיה עט,716,עוצמה,4676
אזור תעשיה עט,716,עטרות,4534
אזור תעשיה עט,716,פרי עמל,4659
אזור תעשיה עט,716,תוצרת,4656
אמריקן קולונ,744,אבו בכר א סדיק,4424
אמריקן קולונ,744,אבו עובידה אבן אל,4195
אמריקן קולונ,744,אבן ג'ובייר,4199
אמריקן קולונ,744,אבן ח'לדון,4165
אמריקן קולונ,744,אח'וואן א ספא,4273
אמריקן קולונ,744,אל יעקובי,4200
אמריקן קולונ,744,בהא א דין,4198
אמריקן קולונ,744,דרך שכם,4162
אמריקן קולונ,744,ח'אלד אבן אל וליד,4272
אמריקן קולונ,744,חאתם א טאווי,4293
אמריקן קולונ,744,לואי ונסן,4611
אמריקן קולונ,744,מוחמד א סלאח,4197
אמריקן קולונ,744,סלאח א דין,4100
אמריקן קולונ,744,עות'מאן בן עפאן,4423
אמריקן קולונ,744,עלי אבן אבו טאלב,4196
אמריקן קולונ,744,קונדר,217
ארזי הבירה,46,ארזי הבירה,261
ארזי הבירה,46,ויליאם אולברייט,3036
ארזי הבירה,46,יואל,123
ארזי הבירה,46,יקים,213
ארזי הבירה,46,סוקניק,3040
ארזי הבירה,46,פיתוחי חותם,237
ארזי הבירה,46,פתחיה,214
ארזי הבירה,46,שדרות חיים ברלב,4113
ארזי הבירה,46,שמואל הנביא,116
ארזי הבירה,46,שמעון הצדיק,235
ארזי הבירה,46,תדהר,4350
ארנונה,48,אברהם שלום יהודה,1791
ארנונה,48,אפרים ושיץ,1741
ארנונה,48,אשר וינר,1744
ארנונה,48,בית הערבה,1750
ארנונה,48,דרך חברון,1714
ארנונה,48,האומן,1839
ארנונה,48,זגפריד מוזס,1443
ארנונה,48,יוסף לוריא,1742
ארנונה,48,כפר עציון,1746
ארנונה,48,לייב יפה,1740
ארנונה,48,משואות יצחק,1745
ארנונה,48,קורא הדורות,1738
ארנונה,48,רבדים,1743
ארנונה,48,רבנו פוליטי,1856
ארנונה,48,שדרות עין צורים,659
באב א זהרה,52,א זהרא',4615
באב א זהרה,52,אבן בטוטה,4419
באב א זהרה,52,אבן ח'לדון,4165
באב א זהרה,52,אבן סינא,4166
באב א זהרה,52,אח'וואן א ספא,4273
באב א זהרה,52,אל אח'טל,4410
באב א זהרה,52,אל אספהאני,4167
באב א זהרה,52,אל חרירי,4274
באב א זהרה,52,אל יעקובי,4200
באב א זהרה,52,אל מוקדסי,4271
באב א זהרה,52,אל מסעודי,4613
באב א זהרה,52,דרך א טור שמואל ב,4281
באב א זהרה,52,דרך יריחו,4146
באב א זהרה,52,הארון א רשיד,4320
באב א זהרה,52,ואדי אל ג'וז,4129
